# Animal Spirits-specific corrections

Animal Spirits | Animal Sprouts
Welcome to another edition | Welcome to an honor edition
This is Animal Spirits | The animal spurts
Ritholtz Wealth Management | Red Bull's wealth management, Ritholt's wealth management
Meredith Whitney | Meredith Whitty
Franklin Templeton | Franco Templeton
muni bond funds | unibond funds
muni bonds | uni bonds
municipal bonds | meeting bonds
animalspirits@thecompoundnews.com | animalspiritsathecompoundnews.com
franklintempleton.com | frankintempleton.com
