# Format:
# Canonical Name | misspelling 1, misspelling 2, misspelling 3
# Case-insensitive match on misspellings; replace with canonical spelling.
# To delete a phrase entirely, leave the right-hand side empty:
# Phrase to remove |

Michael Batnick | Michael Batnik
Ritholtz Wealth Management | Redholtz Wealth Management
teucrium.com | Tukrem.com
Teucrium | Tokram, Tukrim
Ritholtz | Red Holtz
Scariness | scaryness
Animal Spirits | Animal Sprouts
Ritholtz Wealth Management | Redholz-Wealth Management 
See ya! |
Ritholtz Wealth Management | Rittlesworth Management
Calamos | Kalamaz
Matt Kaufman | Matt Kaplan
